age,income,loan_amount,credit_history_years,num_accounts,employment_type,education,target
43,71061.54,22488.9,1,4,employed,bachelor,1
20,64978.27,1000.0,1,4,self_employed,secondary,0
46,80173.37,10561.66,9,4,employed,secondary,1
26,69689.07,14563.08,4,1,unemployed,phd,0
56,84354.5,16843.92,4,9,employed,bachelor,1
53,78388.47,9188.24,9,1,employed,secondary,1
65,90434.01,1000.0,5,2,self_employed,bachelor,0
56,67175.92,8591.25,2,1,employed,secondary,0
37,78105.19,9009.94,8,9,self_employed,bachelor,1
68,53857.46,8815.25,8,3,employed,bachelor,1
39,47970.78,22760.47,2,4,self_employed,master,0
34,94135.35,5291.18,4,7,employed,secondary,1
65,64324.09,17407.83,3,1,unemployed,secondary,0
37,76097.61,16266.38,10,1,employed,master,1
21,62474.8,22683.64,3,2,self_employed,master,0
42,48269.69,13934.95,0,7,employed,secondary,0
59,60219.66,21329.05,4,9,self_employed,bachelor,0
27,88719.88,13622.24,7,6,unemployed,master,0
42,71104.8,18475.14,11,8,unemployed,bachelor,0
24,25770.54,2976.47,0,8,employed,bachelor,0
53,55695.11,1000.0,13,3,employed,bachelor,1
42,95645.88,18020.37,4,2,self_employed,master,1
35,55724.06,18449.47,5,2,employed,bachelor,0
29,23990.43,18804.02,0,8,self_employed,secondary,0
47,97860.98,10800.54,4,7,employed,bachelor,1
52,73647.85,26917.78,7,8,employed,bachelor,0
66,58599.74,11320.98,9,5,employed,bachelor,1
40,52571.65,18367.03,11,9,self_employed,secondary,0
26,81647.04,19757.09,7,9,employed,bachelor,1
61,49160.33,28749.92,1,8,employed,bachelor,0
50,82965.13,12463.76,5,8,self_employed,phd,1
54,70843.91,9774.46,11,2,employed,bachelor,1
23,64893.64,3014.84,9,7,unemployed,bachelor,0
34,62910.3,27418.94,8,9,employed,bachelor,0
57,56500.64,18371.29,7,3,employed,secondary,0
61,80912.8,18624.49,7,8,employed,bachelor,0
40,42693.14,39933.63,14,4,employed,secondary,1
59,27561.5,17600.36,8,2,self_employed,master,0
61,72288.8,4581.43,8,7,employed,bachelor,1
38,72624.77,13432.77,5,2,employed,secondary,1
64,69604.82,7201.74,7,5,employed,bachelor,0
32,68154.57,11833.05,10,9,self_employed,phd,1
30,53589.19,11779.28,12,2,self_employed,secondary,0
53,75749.65,10303.8,11,2,employed,master,0
51,59088.84,3853.74,9,9,employed,secondary,1
25,50257.73,27740.01,11,7,employed,secondary,1
61,53762.17,17390.78,0,5,self_employed,bachelor,0
28,100412.79,13196.22,4,4,employed,secondary,0
59,25300.48,21061.1,3,9,employed,master,0
18,69995.76,18768.54,9,7,self_employed,bachelor,1
59,26417.79,17205.53,11,9,employed,bachelor,1
58,57835.33,20479.98,2,1,self_employed,bachelor,1
58,51327.45,16071.48,2,5,employed,bachelor,1
52,18299.43,20361.77,7,7,unemployed,bachelor,0
42,67780.75,21024.9,14,1,employed,bachelor,1
54,52399.24,16301.75,0,5,employed,master,1
32,18015.87,13236.84,13,1,employed,bachelor,1
58,76791.36,27243.18,2,9,employed,bachelor,0
46,88700.12,11176.79,4,7,self_employed,bachelor,1
41,89802.49,18130.51,9,2,employed,bachelor,1
44,67179.13,18311.27,10,5,employed,secondary,1
47,60921.16,10123.54,13,1,self_employed,bachelor,1
19,86563.13,8537.42,0,8,employed,bachelor,1
25,93647.67,12169.18,0,2,self_employed,secondary,0
30,82671.37,11062.27,7,6,self_employed,master,1
23,41169.25,3334.96,8,1,employed,master,1
40,64026.9,9788.04,3,2,self_employed,secondary,1
52,68790.32,17129.78,9,9,unemployed,master,1
52,23807.66,25127.55,3,4,self_employed,master,1
42,69387.21,19435.13,13,2,employed,master,1
62,105459.84,1000.0,2,7,employed,secondary,1
47,72798.72,20130.43,9,2,unemployed,bachelor,1
22,89468.26,10534.79,7,6,employed,bachelor,1
57,63658.29,18624.64,1,8,employed,bachelor,1
47,58535.63,14886.92,9,7,employed,bachelor,1
51,67625.43,13458.5,2,3,self_employed,bachelor,1
47,43683.47,14182.11,8,3,self_employed,master,1
46,40724.5,14820.61,9,3,unemployed,master,0
22,85326.09,25755.24,1,6,unemployed,bachelor,1
47,87446.85,14842.72,3,7,employed,master,1
59,40177.87,23684.29,4,5,self_employed,master,0
33,79359.98,22519.25,13,4,employed,secondary,1
49,58260.8,20336.36,3,1,employed,master,0
19,66796.17,1000.0,13,8,employed,secondary,1
36,69204.37,23933.06,8,6,unemployed,secondary,1
40,79887.01,11336.79,14,6,employed,phd,1
69,61654.36,20725.82,12,1,employed,bachelor,1
29,88203.24,7219.74,4,3,employed,bachelor,0
32,66188.26,5519.41,8,3,employed,phd,1
39,72483.69,30811.11,10,6,employed,bachelor,1
69,43334.75,7344.14,1,8,employed,secondary,1
62,103173.18,24168.85,9,8,employed,secondary,1
19,69396.5,15947.36,6,5,employed,bachelor,1
30,74259.95,11639.04,0,4,self_employed,secondary,0
60,27836.28,14641.37,13,4,self_employed,secondary,1
21,43545.96,4591.24,3,7,self_employed,master,1
62,84757.67,14889.96,13,3,employed,secondary,1
32,65737.82,6338.08,3,4,employed,bachelor,1
65,21724.41,11836.45,8,8,employed,secondary,0
33,80765.8,22402.4,5,5,unemployed,bachelor,1
40,49124.34,17033.53,13,5,employed,bachelor,0
52,88226.34,3142.64,14,7,employed,bachelor,1
24,58243.29,21811.91,11,3,unemployed,secondary,1
46,64094.13,14943.2,12,1,unemployed,secondary,1
44,83579.09,10662.52,11,8,employed,secondary,0
58,42050.14,20973.41,4,5,self_employed,secondary,1
69,40143.06,13662.35,13,3,employed,bachelor,1
52,56070.03,5674.71,7,1,employed,secondary,1
39,76543.46,29782.48,5,9,employed,secondary,1
39,33382.45,14861.7,2,7,unemployed,secondary,0
39,26639.31,14348.92,10,3,employed,master,0
60,76474.42,11759.16,4,6,self_employed,bachelor,1
34,47940.43,24439.73,9,5,employed,bachelor,1
26,52155.48,10800.97,0,3,self_employed,bachelor,0
35,22863.79,2640.16,9,3,self_employed,bachelor,1
19,46420.41,9570.58,9,1,self_employed,secondary,1
23,59848.65,25614.2,7,9,unemployed,bachelor,0
22,78607.56,21657.06,9,9,self_employed,bachelor,0
58,44575.4,12959.87,14,8,self_employed,bachelor,0
55,93147.52,25986.04,12,3,employed,secondary,1
54,46308.88,20983.54,6,9,unemployed,master,0
42,46338.16,12867.29,13,3,employed,bachelor,1
55,90747.15,13672.72,14,8,employed,secondary,0
26,64229.2,17634.54,2,1,employed,master,0
64,48959.51,8344.9,5,3,employed,secondary,1
44,56897.34,15036.04,11,6,employed,secondary,1
66,87061.47,17468.11,7,9,employed,secondary,1
25,89324.06,1504.27,2,3,employed,master,1
43,43664.14,13485.44,7,4,unemployed,secondary,1
54,59151.32,12575.55,5,8,unemployed,master,0
43,61803.14,23224.54,11,5,employed,bachelor,0
41,40275.2,1000.0,7,7,unemployed,bachelor,1
26,58886.3,11947.95,2,4,employed,bachelor,0
37,60106.46,11145.96,0,1,employed,secondary,1
30,82804.19,22680.57,4,3,unemployed,bachelor,0
33,84148.5,14651.63,2,6,self_employed,bachelor,0
53,53415.81,29368.76,13,1,self_employed,bachelor,1
50,55720.94,20297.71,4,3,employed,secondary,0
49,73285.85,11718.22,9,9,employed,master,1
36,48296.23,16917.27,1,1,employed,bachelor,0
67,71772.8,12167.45,6,3,unemployed,bachelor,1
22,58241.87,21875.17,14,6,employed,bachelor,1
35,40612.03,4342.42,9,6,employed,secondary,1
24,40863.27,8410.43,4,2,employed,secondary,0
35,88941.17,18645.52,11,1,self_employed,secondary,1
68,56871.57,24806.05,7,9,employed,bachelor,1
37,92807.08,1000.0,3,5,self_employed,secondary,1
65,49727.27,25995.77,14,6,employed,secondary,1
43,65824.1,13878.92,14,1,employed,secondary,1
54,107853.53,1000.0,8,2,employed,secondary,1
41,38852.27,1000.0,0,1,employed,bachelor,0
31,22043.71,2764.91,6,9,self_employed,bachelor,1
57,85731.8,14842.36,7,7,self_employed,bachelor,1
68,43463.82,14472.82,13,5,employed,bachelor,0
31,59585.87,20065.6,10,7,employed,bachelor,1
58,48281.64,10604.1,3,2,employed,bachelor,0
31,65363.26,6135.68,7,9,unemployed,master,1
55,40989.28,11695.31,2,5,unemployed,master,0
59,56401.2,15268.88,7,5,self_employed,master,0
41,68996.31,16846.18,8,9,employed,master,1
56,39833.82,8686.68,7,1,employed,master,1
32,45998.32,22211.57,6,4,unemployed,bachelor,0
22,53052.34,10028.83,6,1,employed,bachelor,0
23,31423.69,8042.26,11,4,self_employed,bachelor,1
41,51548.78,10660.87,7,3,unemployed,secondary,1
64,62375.93,23598.72,0,5,self_employed,bachelor,1
24,52009.02,13937.63,11,7,self_employed,master,1
41,54572.47,9443.89,9,3,employed,bachelor,0
54,59601.97,22408.86,10,1,unemployed,secondary,0
28,46885.13,32141.99,10,2,employed,bachelor,0
55,73821.25,16677.46,2,7,unemployed,secondary,0
33,88719.56,24870.74,14,6,employed,bachelor,1
60,50712.39,23288.62,14,9,self_employed,bachelor,1
48,69703.96,10154.88,2,9,unemployed,bachelor,1
46,55207.66,15213.07,3,2,employed,bachelor,0
27,67309.75,4739.64,3,7,employed,secondary,1
42,91315.59,13360.46,14,1,employed,bachelor,1
62,70173.19,9990.48,13,1,self_employed,secondary,1
19,24531.71,11776.91,3,8,self_employed,bachelor,0
57,69079.91,9000.84,9,4,employed,bachelor,1
43,84657.27,12703.23,3,9,unemployed,secondary,1
55,55568.08,19257.86,0,1,unemployed,master,0
52,79912.7,14044.06,3,5,unemployed,bachelor,0
40,46197.69,1000.0,1,3,self_employed,secondary,0
34,30289.22,9031.04,12,9,unemployed,bachelor,0
50,62823.38,2844.81,11,7,unemployed,secondary,1
25,24870.47,16952.48,2,7,employed,secondary,0
48,55204.58,19026.54,8,3,unemployed,master,0
22,85736.85,17052.39,3,9,employed,bachelor,1
51,21804.74,8700.76,8,8,unemployed,master,1
50,34410.06,16974.83,13,8,self_employed,bachelor,1
22,39359.36,11239.09,13,5,self_employed,master,1
57,58733.6,5894.2,12,9,employed,master,1
39,52685.66,20935.44,3,7,employed,secondary,1
58,87982.73,21544.22,2,1,employed,secondary,1
20,79086.97,22591.16,2,8,self_employed,bachelor,0
27,69905.46,10133.21,1,1,unemployed,secondary,0
43,62912.61,24434.9,9,7,employed,bachelor,1
27,67864.6,11051.34,9,3,employed,secondary,1
35,42760.35,20228.01,13,9,self_employed,master,1
52,77144.21,10912.7,1,7,employed,secondary,1
25,37759.11,13208.14,3,8,employed,master,1
53,76707.54,1000.0,10,7,employed,bachelor,1
23,83722.85,12584.69,10,6,self_employed,secondary,1
27,64217.29,15728.72,6,8,employed,master,0
48,56475.74,11719.6,2,3,unemployed,bachelor,0
59,68006.2,29049.5,7,5,employed,bachelor,1
26,10000.0,5700.27,2,3,employed,master,0
33,66045.16,10491.35,8,2,self_employed,secondary,1
66,57732.92,7761.02,13,8,unemployed,secondary,1
69,58987.44,10489.78,2,5,employed,secondary,1
48,74130.65,23251.3,1,1,unemployed,secondary,0
41,58504.62,26824.25,11,8,self_employed,master,1
36,37195.86,9393.66,0,9,unemployed,master,0
49,57171.95,9215.94,14,6,employed,bachelor,1
48,61351.11,5742.97,11,3,employed,bachelor,1
33,62298.68,25450.28,6,8,employed,master,1
19,63238.39,23968.04,5,7,self_employed,secondary,1
25,80787.38,14152.15,5,3,unemployed,secondary,0
67,38279.31,3831.21,5,3,employed,master,1
39,63514.01,4546.7,12,9,employed,bachelor,0
43,85798.59,16365.04,11,9,employed,secondary,1
42,25307.77,19394.7,3,7,employed,bachelor,1
58,63592.93,1000.0,2,1,unemployed,secondary,0
21,48292.43,12429.52,8,3,employed,bachelor,1
22,52585.79,27946.37,9,4,self_employed,bachelor,0
32,41903.85,13259.93,10,5,employed,secondary,1
43,56608.99,26917.1,4,8,unemployed,master,0
52,96825.11,20192.37,7,8,self_employed,bachelor,1
43,34711.39,6325.76,1,3,employed,bachelor,1
40,36607.8,12658.63,6,1,self_employed,bachelor,0
66,33961.31,13970.45,10,3,self_employed,bachelor,1
26,94548.37,7379.91,4,3,unemployed,secondary,1
47,50753.21,7241.06,4,9,employed,secondary,1
46,59487.22,27054.15,6,1,employed,bachelor,0
42,51944.34,7181.12,12,8,employed,bachelor,1
59,41111.54,23627.49,9,6,self_employed,secondary,1
31,55296.99,11508.12,13,1,employed,phd,1
67,109164.87,14794.89,0,7,unemployed,master,0
35,87841.42,19494.76,12,6,employed,secondary,1
46,42941.24,10211.53,0,1,unemployed,secondary,0
45,72951.48,19543.23,4,3,employed,bachelor,1
62,43369.54,1000.0,6,4,employed,secondary,1
40,24472.65,18517.66,3,2,employed,phd,1
32,80390.22,1000.0,14,6,self_employed,bachelor,1
19,83201.86,13185.23,13,6,unemployed,secondary,0
36,80921.05,21833.94,8,2,employed,bachelor,1
60,50602.7,19978.36,6,2,employed,secondary,0
18,56664.49,4612.72,11,6,unemployed,bachelor,1
64,74995.31,5642.68,10,5,employed,secondary,1
46,67829.92,9490.62,7,3,employed,master,1
25,52127.25,16489.73,12,3,unemployed,bachelor,0
33,27618.56,1000.0,2,1,employed,master,1
46,62277.5,14894.21,4,8,employed,secondary,1
34,81580.19,17491.43,0,8,employed,bachelor,0
23,36048.23,12735.7,1,5,self_employed,master,0
52,72775.19,19202.57,2,4,employed,bachelor,0
52,66630.83,16789.79,9,2,unemployed,bachelor,1
24,75002.97,10666.77,12,3,employed,phd,1
32,77439.51,1000.0,8,9,unemployed,master,1
30,46110.7,16067.3,6,1,employed,master,1
52,27660.81,7375.4,4,8,employed,bachelor,1
55,49329.61,10373.26,1,3,employed,bachelor,0
55,77782.55,18832.99,8,3,employed,bachelor,0
66,49159.92,26338.67,2,8,employed,bachelor,0
57,46119.13,14695.52,11,9,unemployed,secondary,1
34,23572.99,19432.52,6,9,self_employed,master,1
23,95052.95,3444.17,5,3,self_employed,bachelor,0
49,76514.27,16964.19,0,6,employed,bachelor,1
65,75397.92,14520.75,3,3,unemployed,master,0
68,79354.51,24833.82,0,2,employed,master,0
29,71534.17,10676.33,10,4,self_employed,secondary,1
30,55113.42,13066.9,7,1,self_employed,bachelor,1
19,56724.72,23470.52,11,2,employed,bachelor,1
25,51448.71,14263.73,8,6,employed,secondary,1
46,112694.82,6129.27,14,7,unemployed,secondary,1
46,71118.24,35413.07,11,3,employed,bachelor,1
37,50723.99,6371.26,2,6,self_employed,master,0
34,69309.94,14482.4,1,7,unemployed,master,0
61,39782.62,17773.51,13,9,employed,bachelor,1
41,90090.13,17140.94,4,6,employed,bachelor,1
60,46778.62,13482.05,11,3,employed,secondary,0
68,70021.71,13521.92,9,7,self_employed,phd,1
34,81319.55,13120.55,10,2,employed,master,1
28,67695.37,6072.53,4,2,employed,phd,1
67,61889.4,32201.75,4,4,employed,bachelor,1
51,60216.04,13240.07,8,3,unemployed,secondary,0
33,58871.18,19775.45,0,2,unemployed,bachelor,1
50,48466.03,12322.78,4,1,self_employed,bachelor,0
44,51010.33,12161.89,7,9,unemployed,secondary,1
65,89591.81,11356.45,3,7,self_employed,secondary,1
31,57829.27,2601.23,4,7,unemployed,secondary,0
69,44284.07,13715.03,14,1,employed,bachelor,1
66,49674.05,11743.94,4,8,employed,master,1
27,82007.41,24372.2,13,4,unemployed,bachelor,0
26,73512.13,5426.4,13,7,employed,master,1
45,71206.58,10382.82,10,5,employed,secondary,1
20,54849.58,7812.48,2,3,self_employed,bachelor,0
33,71467.25,26540.24,3,3,self_employed,bachelor,1
40,47128.78,8044.73,14,2,employed,secondary,1
68,54807.72,19498.4,0,8,employed,bachelor,1
69,79396.09,22761.29,7,4,employed,secondary,1
25,77485.55,13831.02,8,8,employed,master,0
64,40361.8,3985.51,12,8,employed,master,1
22,42889.47,4086.77,13,2,employed,secondary,1
56,62174.04,21878.11,4,3,self_employed,bachelor,0
61,94522.65,4915.25,7,2,employed,bachelor,1
64,21688.7,18136.21,9,1,employed,secondary,1
29,65566.66,15914.79,14,9,self_employed,bachelor,1
64,32479.13,18017.06,8,6,employed,master,1
24,47313.38,18772.68,1,5,employed,master,1
44,52711.43,7530.63,13,2,employed,secondary,1
42,51589.83,7195.77,7,6,self_employed,bachelor,1
34,49324.08,20719.42,2,5,employed,secondary,0
19,60144.14,9965.24,2,3,employed,secondary,0
58,49294.89,1000.0,3,1,employed,secondary,0
35,30750.85,20190.04,10,5,self_employed,secondary,1
52,75597.39,6709.91,14,5,self_employed,secondary,1
39,75057.44,18737.09,6,8,unemployed,bachelor,0
37,76863.49,26142.57,1,4,self_employed,bachelor,1
64,29185.31,15134.1,13,1,employed,secondary,0
22,65978.36,22966.13,9,8,employed,secondary,0
56,73519.58,16230.38,8,4,employed,master,1
56,39375.96,27699.43,0,7,employed,master,1
37,60183.46,6503.14,14,1,employed,secondary,1
31,57674.67,14934.28,1,1,employed,bachelor,0
18,96843.01,20385.29,9,1,self_employed,secondary,0
66,98489.92,13476.71,8,8,self_employed,phd,1
67,26712.87,24217.75,7,3,employed,bachelor,1
30,109878.54,11543.68,8,8,employed,secondary,1
19,41695.49,31554.97,5,9,employed,bachelor,1
24,79613.47,31977.58,8,6,employed,bachelor,0
21,79409.96,17256.58,5,9,employed,secondary,0
61,40086.2,19420.81,7,9,employed,secondary,1
64,69865.36,24533.37,10,7,employed,bachelor,1
25,57849.33,5502.42,11,8,unemployed,secondary,0
56,71086.6,4504.0,2,6,employed,secondary,1
27,64613.45,25051.35,14,2,employed,master,1
37,83926.79,17191.91,1,1,employed,master,0
49,61507.99,13187.96,4,4,employed,bachelor,0
55,56642.52,15088.99,5,5,employed,bachelor,1
63,81921.28,1000.0,4,4,unemployed,bachelor,0
20,71607.92,13475.5,5,1,employed,bachelor,1
28,74636.27,8975.63,4,5,employed,bachelor,0
32,46708.27,22344.57,6,5,unemployed,secondary,0
34,39094.74,22960.25,11,9,employed,secondary,1
69,48645.56,19613.44,12,9,employed,secondary,1
58,47583.57,18163.67,5,6,self_employed,bachelor,1
34,75723.99,3021.23,3,8,employed,bachelor,1
68,79519.68,19725.14,10,3,unemployed,bachelor,0
43,56897.39,20035.18,0,9,employed,bachelor,0
44,88618.38,24961.54,6,9,self_employed,master,1
40,87369.39,31945.68,3,2,employed,secondary,0
25,64867.98,1459.51,9,7,self_employed,bachelor,1
66,43562.16,11892.19,1,5,self_employed,master,0
18,91507.53,9061.87,12,3,self_employed,bachelor,1
27,58779.65,16380.06,4,4,unemployed,bachelor,0
29,62523.3,15107.21,7,9,self_employed,secondary,1
32,53207.9,13127.34,8,9,employed,master,1
24,42204.19,23220.83,7,4,employed,bachelor,0
18,30627.21,6188.69,6,5,employed,master,1
53,72657.37,6671.03,4,5,employed,master,1
68,44331.98,6806.2,11,7,employed,master,1
24,121190.62,12117.38,7,5,self_employed,secondary,1
33,38278.53,5171.28,3,4,self_employed,bachelor,0
44,34852.35,14611.43,3,9,unemployed,secondary,0
66,70202.77,13676.08,6,4,employed,secondary,1
54,90586.27,8707.88,12,3,self_employed,secondary,1
57,61291.79,21990.13,14,3,self_employed,bachelor,1
48,71444.85,14524.0,5,3,unemployed,bachelor,0
39,23129.05,23501.18,5,5,self_employed,bachelor,0
28,46449.77,13439.6,1,6,employed,secondary,0
62,38527.69,14806.44,8,2,employed,secondary,0
59,22099.08,10497.74,3,8,unemployed,bachelor,0
19,62339.6,14943.63,12,3,self_employed,bachelor,1
55,15143.45,20697.85,8,2,self_employed,secondary,0
22,33556.08,11709.33,3,7,self_employed,bachelor,0
56,49256.12,19147.3,13,2,self_employed,secondary,1
60,43374.28,8498.02,12,7,self_employed,bachelor,0
24,67928.17,21072.4,4,9,unemployed,master,0
40,66111.6,10360.75,1,7,unemployed,bachelor,1
24,77875.97,21813.44,3,7,employed,bachelor,0
47,75047.67,15487.81,5,5,employed,master,1
66,82816.26,27167.63,6,4,employed,secondary,1
22,59961.63,5767.46,12,6,employed,secondary,1
38,66069.34,3190.59,14,4,self_employed,master,1
68,70230.27,10070.26,11,8,self_employed,master,1
33,62833.13,3923.11,12,5,employed,bachelor,1
24,52056.11,3938.12,1,5,employed,secondary,0
43,53351.15,19972.41,2,7,employed,secondary,0
44,43648.83,14966.57,13,2,self_employed,master,1
52,68432.34,11162.55,9,6,self_employed,bachelor,1
34,58119.7,11904.3,3,7,employed,secondary,0
67,46736.52,10222.1,11,7,employed,secondary,1
45,46755.1,28202.95,2,3,employed,master,0
32,35792.03,9115.95,11,1,employed,bachelor,1
67,79576.83,4422.93,13,2,self_employed,phd,1
66,61572.35,21368.4,7,8,unemployed,bachelor,0
43,42744.0,13273.96,9,3,employed,secondary,1
19,76170.95,31310.19,10,1,employed,secondary,0
49,48791.02,10790.35,13,6,employed,bachelor,1
46,31869.99,21767.87,8,8,employed,secondary,0
25,80424.45,23657.58,4,3,employed,secondary,0
50,49258.06,10829.31,3,1,employed,secondary,0
61,51822.02,9056.63,5,2,employed,secondary,1
23,60823.6,20930.93,0,2,self_employed,master,0
55,82851.78,19599.14,10,2,employed,secondary,0
25,60400.75,3715.12,5,2,self_employed,bachelor,1
56,36017.66,5972.51,10,6,employed,bachelor,0
39,70877.54,1000.0,0,3,employed,secondary,1
18,50300.21,19763.09,4,5,employed,bachelor,0
68,97758.48,12905.38,5,4,employed,master,1
26,59977.61,13702.8,1,6,employed,bachelor,0
48,15299.29,1468.45,12,6,self_employed,bachelor,1
27,67147.3,6215.18,8,6,unemployed,master,0
66,98891.96,11176.33,12,9,employed,master,1
56,91518.41,9621.4,12,2,employed,master,1
59,96619.09,15942.69,0,5,employed,bachelor,1
40,39604.8,19667.75,12,4,self_employed,bachelor,1
42,78243.05,33156.9,1,5,employed,bachelor,0
50,45560.11,14839.86,13,2,employed,secondary,1
58,64485.79,23923.22,10,3,unemployed,bachelor,0
62,34540.95,8360.22,12,9,unemployed,master,0
18,47110.88,1600.43,7,8,self_employed,secondary,0
52,46475.07,12181.59,2,4,employed,master,1
23,77971.11,2218.23,2,1,employed,phd,0
32,76014.38,15117.39,1,6,employed,secondary,1
61,65536.39,8756.37,12,3,self_employed,secondary,1
31,32991.57,1000.0,8,3,self_employed,phd,0
59,53767.21,28888.2,3,1,employed,secondary,1
42,45077.67,10699.51,1,3,unemployed,master,0
30,77393.52,1899.05,1,2,employed,secondary,0
35,83563.7,22185.37,3,1,self_employed,secondary,0
45,81127.71,9171.09,11,6,employed,secondary,0
57,44895.61,23721.33,13,9,employed,secondary,0
49,10000.0,9132.85,9,2,employed,master,1
66,24660.76,10672.82,14,1,self_employed,secondary,1
63,88432.54,17758.65,5,1,employed,secondary,0
57,51974.9,19745.76,4,5,employed,bachelor,0
49,44985.51,21147.87,10,8,self_employed,phd,1
33,92853.21,14282.07,2,3,self_employed,bachelor,0
39,85303.2,19228.93,13,2,self_employed,master,1
24,60488.97,20965.03,11,1,self_employed,secondary,0
37,54131.94,16604.55,0,6,self_employed,master,1
66,57357.98,13858.74,2,4,self_employed,bachelor,1
40,64543.26,3437.64,9,4,employed,master,1
23,92000.95,19793.39,11,3,employed,bachelor,1
51,68449.35,15337.39,3,9,employed,master,1
68,74520.58,11691.07,11,4,employed,bachelor,1
63,83385.4,25222.13,7,7,employed,bachelor,0
32,36606.48,3577.33,10,7,employed,bachelor,0
41,75097.24,28152.29,6,1,employed,secondary,0
45,54108.62,14821.81,6,3,self_employed,master,1
30,10000.0,17540.15,5,9,self_employed,master,1
31,17436.61,11839.65,2,8,employed,master,1
30,39637.65,1663.42,2,4,unemployed,bachelor,0
69,70624.46,13883.12,2,2,employed,master,1
56,62275.99,17677.96,12,3,employed,secondary,1
61,63687.33,20409.8,6,9,employed,phd,1
60,99018.87,13415.73,5,7,employed,secondary,1
67,34618.21,1000.0,12,1,employed,bachelor,1
23,59451.33,2666.71,13,7,unemployed,secondary,0
63,66088.71,31416.16,3,2,employed,bachelor,1
21,45274.54,6259.71,5,3,employed,bachelor,1
42,60566.53,26416.4,6,5,employed,master,1
48,28001.01,7527.31,12,4,employed,master,1
36,88198.12,13540.35,10,7,self_employed,bachelor,0
25,46367.71,20001.67,8,2,self_employed,master,0
27,100628.0,8438.44,3,8,self_employed,bachelor,1
60,59350.51,27737.72,5,6,self_employed,bachelor,0
34,80561.07,15605.83,0,3,employed,secondary,0
34,58933.94,18686.81,10,9,employed,secondary,1
66,59385.12,12859.14,13,5,self_employed,secondary,1
25,48319.41,20269.76,11,4,employed,bachelor,1
65,62382.48,27630.34,4,1,employed,bachelor,1
65,66359.97,13949.71,7,9,employed,bachelor,1
49,44314.83,28837.7,14,8,self_employed,phd,1
26,57499.11,10107.23,6,2,employed,secondary,1
26,47798.02,21112.77,12,9,unemployed,master,0
32,105993.28,18912.91,8,8,employed,master,1
48,58205.38,6451.34,7,4,employed,master,1
25,90904.64,16710.48,8,9,employed,bachelor,0
41,56087.55,15058.93,3,6,employed,secondary,0
24,65185.75,8174.46,6,7,employed,master,0
46,33572.72,17864.02,4,2,self_employed,bachelor,0
19,51058.55,16170.32,11,1,employed,master,0
